OBJECTID,RegionID,COUNT,AREA,MEAN
1,1,20905946,90.737583811266987,42.082923154972278
2,2,14205589,61.656182527014678,20.527279650284125
3,3,6991010,30.342915637513158,24.676638711716905
4,4,2060147,8.941607381748248,16.698731207044933
5,5,1823524,7.914598161779277,19.739881131260130
6,6,3539311,15.361587966248415,17.688957540040985
7,7,4046,0.017560758269460,22.466139396935244
8,8,1668600,7.242185182506455,26.351079947261177
9,9,1559132,6.767063806767143,15.566562035799405
10,10,3282925,14.248801864005756,16.787739896586125
11,11,622120,2.700172747057962,16.808999871407444
12,12,2807319,12.184540371790026,23.066482647679155
13,13,5708260,24.775426099660972,21.343129955538114
14,14,2173415,9.433221807765353,21.224697078100593
15,15,4923247,21.368252710787100,18.122761462100115
16,16,6597009,28.632842400013022,22.478069985958790
17,17,625507,2.714873263187142,32.191499055965799
18,18,2075490,9.008200242383030,14.283057976670570
19,19,1073258,4.658236356590264,14.911186313076632
20,20,1965229,8.529637027467325,11.615697203735545
21,21,3389706,14.712260917088114,15.834497446091195
22,22,3188228,13.837790710806779,15.086274883728516
23,23,2831893,12.291198323770677,16.664415639997699
24,24,1873815,8.132875001653083,12.956119467503463
25,25,1732369,7.518960267549757,12.991333832457173
26,26,482870,2.095789259904646,16.621417772899537
27,27,2937444,12.749318836894698,16.356151810894097
28,28,694730,3.015320215655465,27.461580757992312
29,29,519,0.002252603445835,25.795761078998073
30,30,49157293,213.356238149783223,14.816394934521719
31,31,7796530,33.839095074294050,38.479555904998762
32,32,274515,1.191470972896895,50.508245451068248
33,33,11134395,48.326351723105574,42.705902116819097
34,34,92791,0.402738586401748,22.852873662316387
35,36,23731587,103.001646727054307,8.183740472139515
36,38,6630320,28.777421346803429,16.905413313384571
37,39,3079153,13.364375063688302,16.032057517115909
38,40,3257,0.014136280198624,24.416334049739024
39,41,1652,0.007170136594451,36.868644067796609
40,42,58045157,251.932024416673158,45.455692797936614
41,44,1590782,6.904433554475599,18.517241834519123
42,45,443665,1.925628724078105,20.584425185669367
43,46,465565,2.020680776994856,21.637674653378152
44,47,423994,1.840251147232196,21.392576310042124
45,48,345499,1.499561152086059,23.141398383208056
46,49,212331,0.921575225929988,17.145452147825800
47,50,17139,0.074387997029233,47.978295116401192
48,51,2277053,9.883039372157420,26.912853148345690
49,52,4714,0.020460062897240,33.965846414934241
50,53,42534,0.184609315925165,38.584779235435178
51,54,190370,0.826258416153514,48.864253821505493
52,55,115503,0.501314943746280,22.244790178610078
53,56,2612277,11.338004184347605,18.826834213982668
54,57,2194119,9.523082890120989,9.392586728431777
55,58,497,0.002157117365280,25.295774647887324
56,59,892541,3.873874628418731,15.123669388857207
57,60,74213,0.322104931648898,19.905569105143304
58,61,860468,3.734668943797773,28.819078687411967
59,62,5198874,22.564550071028446,8.835497840493922
60,63,6426170,27.891353922010971,21.669685987143197
61,64,1527859,6.631330343257300,27.089657488027363
62,65,429607,1.864613118603051,21.675659381713984
63,66,2152492,9.342410204880549,25.177884981686343
64,67,2086237,9.054845192734460,19.787065419700639
65,68,413071,1.792842308236320,32.800107003396512
66,69,20925213,90.821207916451783,13.482911261166135
67,70,106644,0.462864435217079,15.537564232399385
68,71,9926299,43.082881178789791,19.058211021046212
69,72,1368423,5.939334036917794,17.460799767323408
70,73,2289375,9.936520257821357,17.743242151242150
71,74,11668663,50.645222508846530,6.612852217944764
72,76,27979376,121.438225028752683,41.307683630971610
73,77,10312041,44.757108073594061,43.713026257362628
74,78,2790349,12.110885881470518,28.500607630084982
75,79,472551,2.051001947847662,17.017532499137658
76,80,112921,0.490108350110159,8.709283481371932
77,81,6633310,28.790398773206217,7.773119754692605
78,82,7015320,30.448427756527138,9.387429511412167
79,83,17286723,75.029155678229372,8.131492591163751
80,84,523088,2.270346495713135,12.771984828556572
81,85,10647277,46.212124969100913,11.748647189323618
82,86,2787854,12.100056891880230,9.321012506393807
83,87,232,0.001006944122223,19.271551724137932
84,88,6076916,26.375495032084622,10.170487464365149
85,89,1061900,4.608939497365220,11.364532441849516
86,90,1826161,7.926043470616787,11.196363299840485
87,91,4752090,20.625384024893386,8.296347501836035
88,92,979043,4.249317216610732,11.684605272699974
89,93,405341,1.759291971750179,13.160677059562195
90,94,899487,3.904022188215980,12.199527063759676
91,95,11473653,49.798825210248552,10.126369169435401
92,96,863931,3.749699320932509,12.874065174186365
93,97,4896573,21.252480178389778,10.539015960754593
94,99,2884709,12.520434361526437,14.607292451335645
95,100,28726611,124.681431456206965,12.081908408896545
96,101,2574994,11.176185659740517,12.979865972503237
97,102,22705641,98.548757526975336,10.976536535568409
98,103,4191414,18.191895220274549,10.027916831885372
99,104,4514975,19.596239388941079,9.068506470135494
100,105,5227044,22.686815656903555,7.594690230271641
101,106,4025571,17.472090763111407,15.729542964215511
102,107,5665538,24.590000811774697,17.428329842638068
103,108,1972657,8.561876600484020,19.178251971832914
104,109,129275,0.561089230174111,11.136058789402437
105,110,11643764,50.537153967039494,12.202327615022083
106,111,9416541,40.870390567340593,23.060127067890427
107,112,4290,0.018619785708350,39.730536130536130
108,113,3414017,14.817777376378485,17.908424299000270
109,114,340,0.001475693972224,51.464705882352938
110,115,24661101,107.035994394399566,16.213901520455231
111,116,1750574,7.597974999209550,18.546030045002382
112,117,3676391,15.956553053637833,18.063927911911438
113,118,3930240,17.058327874681872,16.912978596726916
114,119,10331250,44.840480442748301,23.168846848154871
115,120,7856128,34.097766866519279,22.098273729755931
116,121,649282,2.818063334333067,17.286578097036418
117,122,29703178,128.920002148478801,20.833384966416723
118,123,1212586,5.262958385301913,10.750083705403163
119,124,12346196,53.585902991442211,34.485240717059732
120,125,4874282,21.155731077404969,26.552017507399039
121,126,3569988,15.494734625030478,20.180109008769776
122,127,400783,1.739508991969606,18.008875126939017
123,128,8936474,38.786767102154016,14.708382411228410
124,129,4474777,19.421768958660365,16.531929077136134
125,130,4635296,20.118465784329043,16.811798642416797
126,131,3486735,15.133393594825989,14.811635240418328
127,132,3667411,15.917577371665576,16.573436410590467
128,133,255218,1.107716659420432,15.948808469622049
129,134,16365477,71.030693416067479,17.220400114216041
130,135,2984052,12.951610438828212,16.230534521516383
131,136,2481527,10.770513046499879,12.008637423650841
132,137,3487992,15.138849322246827,13.035212236725313
133,138,4782611,20.757853600558779,14.532243789009812
134,139,3708228,16.094734433031011,16.843183590653002
135,140,17771,0.077131051707013,16.167069945416689
136,141,4361138,18.928544290102984,13.003664869123609
137,142,2043780,8.870570078091241,16.346917476440712
138,143,3443491,14.945702682664711,11.104558135914978
139,144,2320,0.010069441222231,13.321120689655173
140,145,117,0.000507812337500,14.452991452991453
141,146,230,0.000998263569445,20.560869565217391
142,147,124144,0.538819272022703,15.718101559479315
143,148,2103042,9.127783537449803,13.429604354073765
144,150,39108259,169.740653148402686,17.264783277619184
145,151,78,0.000338541558334,44.602564102564102
146,152,825614,3.583392950539305,33.222593124632091
147,153,848717,3.683666355951895,24.581338655877047
148,154,760949,3.302728977851555,35.673102928054313
149,155,687126,2.982316753994325,28.763791502577401
150,156,342526,1.486657510381881,25.251540029078086
151,157,345115,1.497894485952724,29.613966359039740
152,158,350240,1.520138402445799,25.379771014161719
153,159,21104630,91.599927285317762,18.957523396524838
154,160,2507488,10.883190961831923,17.215230541482153
155,161,1625668,7.055848436578511,21.688865746265535
156,162,1126768,4.890484546159914,15.212737670931372
157,163,2222537,9.646424864540542,40.047371989757650
158,164,1493532,6.482341675655778,40.682106576892899
159,165,2926757,12.702934303126600,43.076161430552659
160,166,8684438,37.692861202203041,13.560329407613942
161,167,312784,1.357569010023432,25.802211749961636
162,168,144882,0.628827923775561,33.950794439612928
163,169,6457110,28.025642073483315,22.131441155563401
164,170,29428,0.127725653572336,30.148939785238547
165,171,6486,0.028151032658358,23.891612704286153
166,172,6386606,27.719635226960818,10.380008254775698
167,173,2471,0.010724822956954,29.400242816673412
168,174,214294,0.930095188481385,22.267781645776363
169,175,958344,4.159477835637041,31.967392710759395
170,177,347,0.001506075906946,27.942363112391931
171,178,1,0.000004340276389,40.000000000000000
172,179,3733921,16.206249154290834,14.261561238172956
173,180,7763861,33.697302584945312,7.003248898969211
174,181,2854690,12.390143604608266,11.880985325902287
175,182,390653,1.695541992150122,8.850132982467816
176,183,10071,0.043710923512539,32.092443650084398
177,184,6705,0.029101553187526,26.956748695003728
178,185,7333,0.031827246759751,43.860084549297696
179,186,13215822,57.360320186409460,41.470097508879888
180,187,13431,0.058294252179219,41.200282927555655
181,188,2123573,9.216893751990160,33.950584698524608
182,189,61704,0.267812414300239,39.944882017373267
