"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"1472","Loukos",12,10,2
"1473","Louros",17,12,5
"1474","Lovu",12,11,1
"1475","Loy",10,9,1
"1476","Lucindale",1,1,NA
"1477","Ludlow",6,4,2
"1478","Luguse",5,5,NA
"1479","Lune",8,7,1
"1480","Lut",10,5,5
"1481","Luzhnanka",5,5,NA
"1482","Lyutoga",10,10,NA
"1483","MPolongwe",10,10,NA
"1484","Ma.Oya",33,31,2
"1485","Ma.chon",20,20,NA
"1486","Maavli",7,7,NA
"1487","Mabechi",11,10,1
"1488","MacKay",1,1,NA
"1489","Macacu",56,55,1
"1490","Machiya",5,5,NA
"1491","Mackenzie",43,40,3
"1492","Macleay",39,37,2
"1493","Maclennan.creek",4,3,1
"1494","Macmillian",4,4,NA
"1495","Madampe.lake",30,28,2
"1496","Madeleine",8,7,1
"1497","Madeleine.Island.un",4,4,NA
"1498","Madong",6,5,1
"1499","Madre.de.Dios",17,17,NA
"1500","Madurankuli.Aru",30,28,2
"1501","Maduru.Oya",39,37,2
"1502","Maduwa",6,6,NA
"1503","Mae.Kawa",8,6,2
"1504","Mae.Khlong",235,231,4
"1505","Maehwa",32,31,1
"1506","Maekawa",6,5,1
"1507","Maemoisa",3,3,NA
"1508","Mafa.River",15,15,NA
"1509","Magalavatavan.Aru",33,31,2
"1510","Magari.Jarv",3,3,NA
"1511","Magdalena",274,262,12
"1512","Mageonggang",94,89,5
"1513","Maha.Oya",37,35,2
"1514","Mahakam",198,189,9
"1515","Mahanadi",23,22,1
"1516","Maharlu",12,8,4
"1517","Mahaseelawa.Oya",30,28,2
"1518","Mahaweli.Ganga",59,52,7
"1519","Mahi",32,31,1
"1520","Mahitahi",12,11,1
"1521","Mailmans.creek",2,2,NA
"1522","Maipo",31,21,10
"1523","Maitland",11,11,NA
"1524","Makarachchi.Aur",30,28,2
"1525","Makawhio",13,12,1
"1526","Maksimouka",33,32,1
"1527","Malacara",6,6,NA
"1528","Malala.Oya",31,29,2
"1529","Malawi",448,447,1
"1530","Malbaie",6,5,1
"1531","Maldonado",6,6,NA
"1532","Malheur.lake",14,14,NA
"1533","Malmanoury",52,52,NA
"1534","Malselva",9,8,1
"1535","Malu",15,14,1
"1536","Mamberamo",67,63,4
"1537","Mana",252,252,NA
"1538","Mananjary",30,25,5
"1539","Manatee",38,34,4
"1540","Manawapou",2,1,1
"1541","Manawatu",27,20,7
"1542","Mand",23,21,2
"1543","Mandad",45,40,5
"1544","Mandan.Aru",30,28,2
"1545","Mandipattu.Aru",30,28,2
"1546","Mandor",54,54,NA
"1547","Mandu.Ganga",30,28,2
"1548","Mangakuri",7,7,NA
"1549","Mangaone",22,17,5
"1550","Mangawhero",16,14,2
"1551","Mangoro",35,25,10
"1552","Mangwol.chon",37,35,2
"1553","Manimala",4,4,NA
"1554","Maningory",9,7,2
"1555","Manjeswaram",20,19,1
"1556","Manniku",7,7,NA
"1557","Manning",30,27,3
"1558","Mano",53,53,NA
"1559","Manuka.creek",5,4,1
"1560","Manzanares",11,11,NA
"1561","Maoling",36,35,1
"1562","Mar.Chiquita",91,87,4
"1563","Maraetotara",13,11,2
"1564","Maraval",6,5,1
"1565","Marbelup.Brook",9,7,2
"1566","Margaree",20,20,NA
"1567","Margaret",13,8,5
"1568","Maria.Lucinda",19,19,NA
"1569","Maribyrnong",21,13,8
"1570","Marion.creek",7,7,NA
"1571","Marjasoo",5,5,NA
"1572","Markham",21,19,2
"1573","Maro",53,52,1
"1574","Marokopa",8,6,2
"1575","Maroni",373,373,NA
"1576","Maroochy",12,12,NA
"1577","Maruyama",13,13,NA
"1578","Mary",57,49,8
"1579","Mashkel",12,10,2
"1580","Massa",2,2,NA
"1581","Mataikona",9,9,NA
"1582","Matapalo",37,37,NA
"1583","Matape",14,14,NA
"1584","Mataquito",16,14,2
"1585","Mataura",18,15,3
"1586","Matelot",3,3,NA
"1587","Matina",40,39,1
"1588","Matsuda",2,2,NA
"1589","Matsuura",16,15,1
"1590","Matsuzaki",9,7,2
"1591","Mattaponi",80,49,31
"1592","Maule",18,14,4
"1593","Maullin",24,21,3
"1594","Maup",25,24,1
"1595","Maxwell",18,18,NA
"1596","May",13,13,NA
"1597","Mayo",22,22,NA
"1598","Mazabi",3,3,NA
"1599","McArthur",46,46,NA
"1600","McKeand",3,3,NA
"1601","Mccossiens.Swamp",2,1,1
"1602","Mcivor",13,13,NA
"1603","Me",50,49,1
"1604","Medjerda",12,7,5
"1605","Medvezhya",1,1,NA
"1606","Mee.Oya",30,28,2
"1607","Meenachil",13,12,1
"1608","Meherrin",105,89,16
"1609","Mekong",930,901,29
"1610","Melet.Cayi",37,35,2
"1611","Meme",52,52,NA
"1612","Mempawah",34,34,NA
"1613","Menik.Ganga",36,34,2
"1614","Mentawak",12,12,NA
"1615","Meredith",11,10,1
"1616","Mereubo",6,6,NA
"1617","Mereya",10,10,NA
"1618","Merin",138,137,1
"1619","Mermentau",63,63,NA
"1620","Merri",34,26,8
"1621","Merrimack",73,51,22
"1622","Merriman.creek",5,5,NA
"1623","Mersey",17,15,2
"1624","Mert",6,6,NA
"1625","Meshik",7,7,NA
"1626","Metauro",19,11,8
"1627","Meuse",73,46,27
"1628","Mfolozi",50,49,1
"1629","Mhlatuzana",16,13,3
"1630","Mhlatuze",74,72,2
"1631","Mi.Oya",35,33,2
"1632","Middle.Harbour",24,23,1
"1633","Midfjardara",3,3,NA
"1634","Midfjardara.Bakkafjordur",2,2,NA
"1635","Midorikawa",11,10,1
"1636","Mijares",18,12,6
"1637","Mije.josuji",38,36,2
"1638","Miliane",5,4,1
"1639","Mimi.kawa",1,1,NA
"1640","Mimi.kawa.2",13,11,2
"1641","Minab",13,10,3
"1642","Minamata",4,4,NA
"1643","Mineralnyi",5,5,NA
"1644","Minho",24,17,7
"1645","Minilya",2,1,1
"1646","Mira.Ecuador",26,26,NA
"1647","Mira.Portugal",12,9,3
"1648","Miramichi",37,35,2
"1649","Mishamattawa",39,39,NA
"1650","Mission",14,14,NA
"1651","Mississippi",501,435,66
"1652","Mitchell",9,9,NA
"1653","Mitchell.Queensland",63,62,1
"1654","Mitchell.Victoria",46,38,8
"1655","Miya",11,11,NA
"1656","Mkomazi",49,48,1
"1657","Moa",127,125,2
"1658","Modaragam.Aru",30,28,2
"1659","Moeraki",14,13,1
"1660","Mogami",1,1,NA
"1661","Mogocenega",15,15,NA
"1662","Mogral",22,21,1
"1663","Mohaka",17,14,3
"1664","Moho",25,25,NA
"1665","Moisie",17,17,NA
"1666","Mojave",1,1,NA
"1667","Mokau",23,19,4
"1668","Mokihinui",14,13,1
"1669","Monbetsu",7,7,NA
"1670","Mondego",32,24,8
"1671","Monkey",19,19,NA
"1672","Mono",86,86,NA
"1673","Mont.Louis",3,3,NA
"1674","Montagu",7,6,1
"1675","Moongil.Ara",30,28,2
"1676","Moorabool",19,12,7
"1677","Moorea",12,10,2
"1678","Moose",35,35,NA
"1679","Moovattupuzha",4,4,NA
"1680","Mopo",10,9,1
"1681","Morehead",59,57,2
"1682","Mori",1,1,NA
"1683","Morrumsan",23,21,2
"1684","Moruga",15,15,NA
"1685","Moruka",52,52,NA
"1686","Moruya",21,20,1
"1687","Mosquito.creek",10,7,3
"1688","Mossman",27,27,NA
"1689","Motagua",43,43,NA
"1690","Motoro",15,15,NA
"1691","Motu",16,14,2
"1692","Motueka",21,17,4
"1693","Motunau",7,7,NA
"1694","Moulouya",7,6,1
"1695","Moutere",11,8,3
"1696","Moyanjiang",75,73,2
"1697","Moyle",25,25,NA
"1698","Moyne",11,11,NA
"1699","Mpambanyoni",17,16,1
"1700","Mtata",63,59,4
"1701","Muar",80,78,2
"1702","Mucuri",68,62,6
"1703","Muda",25,25,NA
"1704","Muir",6,4,2
"1705","Mulege",58,57,1
"1706","Mulgrave",63,61,2
"1707","Mullins",6,6,NA
