"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"2065","Platano",21,21,NA
"2066","Playford",7,7,NA
"2067","Playon.Chico",18,18,NA
"2068","Pleasant",6,6,NA
"2069","Plumbago",14,13,1
"2070","Plumtree.creek",2,2,NA
"2071","Po",67,43,24
"2072","Pocomoke",34,34,NA
"2073","Podoshevka",2,2,NA
"2074","Podragu",3,3,NA
"2075","Poduste.Jogi",8,8,NA
"2076","Poerua",10,9,1
"2077","Pogari",3,3,NA
"2078","Poison",2,2,NA
"2079","Pokopoko",13,11,2
"2080","Pol.e.Rud",21,17,4
"2081","Polochic",76,76,NA
"2082","Polonskogo.un",2,2,NA
"2083","Polwatta.Ganga",34,32,2
"2084","Ponghwa.ri",10,9,1
"2085","Pongnam.dong",9,8,1
"2086","Pongola",71,68,3
"2087","Ponoi",18,18,NA
"2088","Pontian.Besar",27,27,NA
"2089","Popondetta",6,6,NA
"2090","Poronai",31,30,1
"2091","Port.Campbell.creek",4,3,1
"2092","Port.Daniel",7,7,NA
"2093","Potenza",14,11,3
"2094","Potomac",119,79,40
"2095","Pouembout",11,9,2
"2096","Pouso",4,4,NA
"2097","Povungnituk",7,7,NA
"2098","Powlett",6,5,1
"2099","Pra",89,89,NA
"2100","Prafi",3,2,1
"2101","Pranburi",10,9,1
"2102","Prassi",4,4,NA
"2103","Presidio",47,47,NA
"2104","Prespa",28,16,12
"2105","Presumpscot",32,32,NA
"2106","Priivitsa",9,9,NA
"2107","Primera.Estancia",16,16,NA
"2108","Prince.Regent",22,22,NA
"2109","Prinzapolka",34,34,NA
"2110","Progresso",16,16,NA
"2111","Proserpine",5,5,NA
"2112","Prosser",11,9,2
"2113","Prozrachnyi",4,4,NA
"2114","Prunelli",22,8,14
"2115","Pual",16,16,NA
"2116","Puchanquin",4,4,NA
"2117","Pudisoo",13,13,NA
"2118","Puelo",19,16,3
"2119","Puerua",12,10,2
"2120","Pugu.chon",15,14,1
"2121","Puhung.josuji",30,28,2
"2122","Puk",31,30,1
"2123","Pulakutti.Aru",30,28,2
"2124","Pulau.Bintan.Island",152,152,NA
"2125","Pulau.Langkawi.Island",32,29,3
"2126","Pulau.Tioman.Island",48,48,NA
"2127","Pulgap.chon",39,37,2
"2128","Pulliyanpota.Aru",30,28,2
"2129","Pulsa",3,3,NA
"2130","Punapea",6,6,NA
"2131","Pung.ho",27,26,1
"2132","Pungwe",40,40,NA
"2133","Punta.Del.Arenal",44,44,NA
"2134","Purari",47,47,NA
"2135","Purificacion",45,43,2
"2136","Purste",8,8,NA
"2137","Puski",3,3,NA
"2138","Puyallup",29,29,NA
"2139","Pyoktong",28,27,1
"2140","Pyonggok.chi",15,14,1
"2141","Pyongmun.chon",9,9,NA
"2142","Pyongsa.dong",6,6,NA
"2143","Pyongsan.po",21,20,1
"2144","Qaidam",15,15,NA
"2145","Qiantang",233,227,6
"2146","Qinghai",6,6,NA
"2147","Qinjiang",48,48,NA
"2148","Qishon",12,10,2
"2149","Qitai",4,4,NA
"2150","Quang.Tri",57,56,1
"2151","Qued.Kebir",2,2,NA
"2152","Quequen.Grande",11,11,NA
"2153","Quequen.Salado",9,9,NA
"2154","Quinebaug",39,39,NA
"2155","Quinn",18,6,12
"2156","Quinto",18,14,4
"2157","Rae",14,14,NA
"2158","Raglan.creek",8,8,NA
"2159","Raiatea",11,10,1
"2160","Rainu",7,7,NA
"2161","Rajang",151,149,2
"2162","Rakaia",24,18,6
"2163","Ramu",175,171,4
"2164","Rance",19,18,1
"2165","Rancheria",91,90,1
"2166","Rangitaiki",22,18,4
"2167","Rangitata",21,15,6
"2168","Rangitikei",24,16,8
"2169","Rangitopuni",19,11,8
"2170","Rannakula",10,10,NA
"2171","Rannametsa",11,11,NA
"2172","Raoutchoua",20,20,NA
"2173","Rapel",14,9,5
"2174","Rappahannock",90,71,19
"2175","Raritan",41,41,NA
"2176","Rasshua.un",1,1,NA
"2177","Ratgama.lake",30,28,2
"2178","Rathambala.Oya",30,28,2
"2179","Ratmal.Oya",32,30,2
"2180","Raugi.s",3,3,NA
"2181","Raukokore",7,7,NA
"2182","Rauma",8,7,1
"2183","Rayong",12,11,1
"2184","Rayu",25,25,NA
"2185","Red",187,155,32
"2186","Red.creek",1,1,NA
"2187","Reedy.lake",7,6,1
"2188","Reis.Magos",27,25,2
"2189","Rekawa.Oya",30,28,2
"2190","Restigouche",30,29,1
"2191","Reynolds",18,18,NA
"2192","Rheris",2,1,1
"2193","Rhine",72,45,27
"2194","Rhone",69,46,23
"2195","Rianila",10,6,4
"2196","Ribble",29,22,7
"2197","Ribe.aa",33,29,4
"2198","Ribeira.do.Iguape",162,158,4
"2199","Ribera.da.Imbacuaba",31,30,1
"2200","Ribi",4,4,NA
"2201","Ribra",19,19,NA
"2202","Richmond",67,66,1
"2203","Riddoch.Bay",4,4,NA
"2204","Riguldi",8,8,NA
"2205","Rihios",17,15,2
"2206","Rikorda",4,4,NA
"2207","Riksu.Oja",6,6,NA
"2208","Rincon",23,23,NA
"2209","Ringarooma",14,12,2
"2210","Rio.Consul",5,5,NA
"2211","Rio.Cuanza",106,106,NA
"2212","Rio.Cunene",91,90,1
"2213","Rio.D.Una",29,29,NA
"2214","Rio.Ecuco",35,35,NA
"2215","Rio.Iladyi",1,1,NA
"2216","Rio.Larde",40,40,NA
"2217","Rio.Lopese",8,8,NA
"2218","Rio.Mbridge",61,61,NA
"2219","Rio.Melela",16,16,NA
"2220","Rio.Mirupururu",10,10,NA
"2221","Rio.Moebase",39,39,NA
"2222","Rio.Molocue",31,31,NA
"2223","Rio.Ruma",9,9,NA
"2224","Rio.Tiburones",11,11,NA
"2225","Rio.Timbabe",9,9,NA
"2226","Rio.Ue",11,11,NA
"2227","Rio.de.Cana",12,12,NA
"2228","Rio.de.Nizuc",19,19,NA
"2229","Rio.de.la.Matanza",11,11,NA
"2230","Rio.dos.Correias",15,15,NA
"2231","Rioni",33,32,1
"2232","Risti",6,6,NA
"2233","Riva",51,47,4
"2234","River.Charlotte",13,13,NA
"2235","River.Forth",15,13,2
"2236","River.Leven",12,10,2
"2237","River.Torrens",15,12,3
"2238","Riviere.a.la.Baleine",14,14,NA
"2239","Riviere.de.Cayenne",116,116,NA
"2240","Riviere.de.Kaw",85,85,NA
"2241","Riviere.des.Coulisses",12,7,5
"2242","Riviere.des.Galets",5,5,NA
"2243","Riviere.des.Pluies",7,6,1
"2244","Riviere.des.Remparts",7,6,1
"2245","Riviere.du.Carbet",9,9,NA
"2246","Riviere.du.Mat",13,10,3
"2247","Roanoke",140,106,34
"2248","Robe",8,8,NA
"2249","Robinson",10,10,NA
"2250","Roe",8,8,NA
"2251","Rogaceva",3,3,NA
"2252","Rogue",24,24,NA
"2253","Rokel",90,89,1
"2254","Rokkaku.Saga",4,4,NA
"2255","Rolfsan",11,10,1
"2256","Rollingstone.creek",6,6,NA
"2257","Rooi",7,6,1
"2258","Roper",55,55,NA
"2259","Rosario",19,19,NA
"2260","Rose",3,3,NA
"2261","Rosie.creek",6,6,NA
"2262","Ross",16,15,1
"2263","Ross.creek",28,28,NA
"2264","Round.lake",1,1,NA
"2265","Rowallan.Burn",4,3,1
"2266","Roya",8,6,2
"2267","Ruaha",94,94,NA
"2268","Ruamahanga",28,22,6
"2269","Rubicon",18,15,3
"2270","Rufus.kulam.Aru",30,28,2
"2271","Ruianjiang",65,62,3
"2272","Ruoshui",9,9,NA
"2273","Rupert",24,24,NA
"2274","Rurutu",6,6,NA
"2275","Russian",46,28,18
"2276","Ruvu.River",24,24,NA
"2277","Ruvuma",47,47,NA
"2278","Saastna",3,3,NA
"2279","Saba",10,10,NA
"2280","Sabine",131,121,10
"2281","Saccione",6,6,NA
"2282","Sachon.Nae",28,27,1
"2283","Saco",31,31,NA
"2284","Sacramento",75,36,39
"2285","Sado",28,21,7
"2286","Sadong",18,17,1
"2287","Saektal.chon",9,8,1
"2288","Saem.mal",23,22,1
"2289","Sagami",19,12,7
"2290","Saguenay",15,15,NA
"2291","Saint.Etienne",12,8,4
"2292","Saint.Jean.Qc",8,7,1
"2293","Saint.Jean.USA",48,41,7
"2294","Saint.John",77,77,NA
"2295","Saint.Johns",109,83,26
"2296","Saint.Laurent",207,167,40
"2297","Saint.Marks",59,59,NA
"2298","Saint.Mary.s",65,64,1
"2299","Saint.Paul",99,99,NA
"2300","Sainte.Anne",9,8,1
"2301","Sainte.Croix",46,42,4
"2302","Saju.chon",23,22,1
"2303","Sakarya",52,48,4
"2304","Sakinaw",9,9,NA
"2305","Salaca",4,4,NA
"2306","Salado",55,53,2
"2307","Salang",4,4,NA
"2308","Salina.Agua.Perra",2,2,NA
"2309","Salina.Grandes",38,37,1
"2310","Salina.de.Guayatayoc",3,1,2
"2311","Salina.de.Olaroz",1,1,NA
"2312","Salina.de.Pozuelos",1,1,NA
"2313","Salina.de.Uyuni",2,2,NA
"2314","Salina.del.Bebedero",4,3,1
"2315","Salinas",28,19,9
"2316","Saloum",42,42,NA
"2317","Salt.creek",4,4,NA
"2318","Saltelva",8,7,1
"2319","Salween",291,289,2
"2320","Samarga",20,20,NA
"2321","Sambas",36,36,NA
"2322","Samborombon",13,12,1
"2323","Sambu",35,35,NA
"2324","Sampan.creek",50,50,NA
"2325","Sampo.chon",42,40,2
"2326","San.Antonio",83,67,16
"2327","San.Antonio.creek",8,8,NA
"2328","San.Bernard",20,18,2
"2329","San.Carlos",3,2,1
"2330","San.Diego",42,7,35
"2331","San.Fernando",24,22,2
"2332","San.Gabriel",9,9,NA
"2333","San.Giovanni",5,2,3
"2334","San.Ignacio",5,2,3
"2335","San.Jacinto",59,59,NA
"2336","San.Javier",5,4,1
"2337","San.Joaquin",63,30,34
"2338","San.Jose.del.Cabo",18,16,2
"2339","San.Juan.Colombia",84,84,NA
"2340","San.Juan.Island",9,9,NA
"2341","San.Juan.Nicaragua",102,98,6
"2342","San.Juan.Venezuela",155,155,NA
"2343","San.Leonardo",9,7,2
"2344","San.Lorenzo",11,11,NA
"2345","San.Luis.Obispo",19,8,11
"2346","San.Luis.Rey",21,6,15
"2347","San.Martin",2,2,NA
"2348","San.Mateo.creek",7,7,NA
"2349","San.Nicolas",14,14,NA
"2350","San.Pedro.Ivory.Coast",47,47,NA
"2351","San.Pedro.Mexico",6,4,2
"2352","San.Pedro.Mezquital",48,48,NA
"2353","San.Pedro.Panama",26,26,NA
"2354","Sanaga",225,224,1
"2355","Sandon",18,18,NA
"2356","Sandy.creek",20,20,NA
"2357","Sandy.creek.1",2,2,NA
"2358","Sandy.creek.2",6,6,NA
"2359","Sangam.dong",21,20,1
"2360","Sangdo.josuji",38,36,2
"2361","Santa.Ana",36,8,28
"2362","Santa.Clara",33,10,23
"2363","Santa.Cruz",11,8,3
"2364","Santa.Inez",24,9,15
"2365","Santa.Lucia",60,59,1
"2366","Santa.Margarita",22,8,14
"2367","Santa.Maria",5,5,NA
"2368","Santa.Maria.Brazil",25,24,1
"2369","Santa.Maria.Cal",18,11,7
"2370","Santa.Maria.Pan",102,102,NA
"2371","Santee",143,112,31
"2372","Santiago",38,38,NA
"2373","Santo",29,29,NA
"2374","Santo.Antonio",6,6,NA
"2375","Santo.Antonio.Grande",4,4,NA
"2376","Sanyang.ni",18,17,1
"2377","Sao.Francisco",307,286,21
"2378","Sao.Joao",94,93,1
"2379","Sao.Mateus",70,66,4
"2380","Sapgyocheon",79,76,3
"2381","Saramacca",140,140,NA
"2382","Sarandi",10,10,NA
"2383","Sarapiku",3,3,NA
"2384","Sarawak",86,77,9
"2385","Sarbad",40,32,8
"2386","Sarbaz",12,9,3
"2387","Saru",6,6,NA
"2388","Sassandra",90,88,2
"2389","Satilla",61,60,1
"2390","Sauce.Grande",12,12,NA
"2391","Sauga",3,3,NA
"2392","Savannah",149,124,25
"2393","Savaran",14,13,1
"2394","Save",43,42,1
"2395","Savina",3,3,NA
"2396","Savitri",63,53,10
"2397","Savory",1,1,NA
"2398","Savushkina",4,4,NA
"2399","Sawarangan",12,12,NA
"2400","Saymena.Aar",30,28,2
"2401","Scamander",11,10,1
"2402","Schelde",42,32,10
"2403","Scott",7,6,1
"2404","Scrubby.creek",3,3,NA
"2405","Sea.Elephant",2,2,NA
"2406","Seaforth",5,4,1
"2407","Searle",14,13,1
"2408","Sebaou",5,5,NA
"2409","Sebkha.Aoueital",1,1,NA
"2410","Sebkhet.Safioune",1,1,NA
"2411","Sebkhet.Te.n.Dghamcha",3,3,NA
"2412","Sebou",14,9,5
"2413","Sediah",9,8,1
"2414","Sedili",49,49,NA
"2415","Sedong.josuji",15,14,1
"2416","Sefid",70,58,12
"2417","Segama",65,64,1
"2418","Segura",28,17,11
"2419","Sehnkwehn.River",27,27,NA
"2420","Seine",53,33,20
"2421","Seito.ri",38,36,2
"2422","Sela.Steingrimsfirdi",3,3,NA
"2423","Sela.Vopnafirdi",3,3,NA
"2424","Seletar",31,29,2
"2425","Selja",18,17,1
"2426","Semberong",35,35,NA
"2427","Sendai.Aomori",2,2,NA
"2428","Sendai.Kagoshima",13,12,1
"2429","Sendai.Tottori",15,15,NA
"2430","Senegal",203,203,NA
"2431","Senora.Siquijor",3,3,NA
"2432","Sentani",21,18,3
"2433","Sepik",109,101,8
"2434","Serebryannoye",7,7,NA
"2435","Sermowai",9,9,NA
"2436","Serra.Espirito.Santo",29,27,2
"2437","Serra.Negra",13,13,NA
"2438","Sesayap",37,37,NA
"2439","Setekwa",32,32,NA
"2440","Settlement.creek",30,30,NA
"2441","Sevan",7,3,4
"2442","Severn.Can",36,36,NA
"2443","Severn.UK",47,26,21
"2444","Sevre.Niortaise",31,20,11
"2445","Seyhan",35,33,2
"2446","Shag",17,15,2
"2447","Shannon.Aus",16,15,1
"2448","Shannon.Ire",19,10,9
"2449","Shark",6,6,NA
"2450","Shatt.al.Arab",108,92,16
"2451","Sheepwash.creek",7,6,1
"2452","Shelekhova",4,4,NA
"2453","Sherlock",10,10,NA
"2454","Shi.He",11,9,2
"2455","Shiloango",110,109,1
"2456","Shimada",9,9,NA
"2457","Shimano",10,9,1
"2458","Shimanto",19,19,NA
"2459","Shimokita",9,9,NA
"2460","Shin",9,8,1
"2461","Shinano",22,16,6
"2462","Shinden.ri",21,20,1
"2463","Shiribetsu",8,8,NA
"2464","Shiriya",32,31,1
"2465","Shiyang",7,7,NA
"2466","Shoalhaven",44,38,6
"2467","Shoalwater.creek",4,4,NA
"2468","Shor",4,4,NA
"2469","Shottegat",9,7,2
"2470","Shule",8,8,NA
"2471","Siagne",15,9,6
"2472","Siak",52,51,1
"2473","Siantan",3,3,NA
"2474","Siaton.Negros",34,29,5
"2475","Sibede.Creek",8,8,NA
"2476","Sibun",39,39,NA
"2477","Sico",43,43,NA
"2478","Sierpe",83,83,NA
"2479","Sigi.River",6,6,NA
"2480","Sillim.josuji",30,28,2
"2481","Simeto",18,11,7
"2482","Simojoki",29,29,NA
"2483","Sinaloa",20,20,NA
"2484","Sinch.al",14,13,1
"2485","Sinchol.li",6,6,NA
"2486","Sinchon.josuji",23,22,1
"2487","Sinimodera.Oya",30,28,2
"2488","Sinnamary",219,219,NA
"2489","Sinni",17,5,12
"2490","Sinos",115,111,4
"2491","Sinpyong.chon",43,41,2
"2492","Sinri.Sen",25,24,1
"2493","Sinu",111,111,NA
"2494","Sirjan",5,4,1
"2495","Sistan",28,19,9
"2496","Sittee",6,6,NA
"2497","Siuslaw",22,22,NA
"2498","Sixaola",36,36,NA
"2499","Skagit",35,35,NA
"2500","Skeena",43,42,1
"2501","Skeleton.creek",6,4,2
"2502","Skjern.aa",34,29,5
"2503","Skokomish",23,23,NA
"2504","Slavnaya",6,6,NA
"2505","Sleeper.Log.creek",4,4,NA
"2506","Slupia",23,20,3
"2507","Smith",19,19,NA
"2508","Snohomish",29,29,NA
"2509","Snowy",32,26,6
"2510","So",154,154,NA
"2511","Sobu.josuji",7,7,NA
"2512","Soca",33,22,11
"2513","Soda.lake",2,2,NA
"2514","Sogumgang",27,26,1
"2515","Sojung.chon",12,11,1
"2516","Solo",1,1,NA
"2517","Somme",38,28,10
"2518","Somsok.chon",27,26,1
"2519","Sonaktong.gang",27,26,1
"2520","Sondagsrivier",66,61,5
"2521","Sondang.mot",7,7,NA
"2522","Song.Hong",235,231,4
"2523","Song.Lam",64,63,1
"2524","Song.Ma",150,149,1
"2525","Song.chon",11,10,1
"2526","Songam.josuji",25,24,1
"2527","Songdong.ni",9,8,1
"2528","Songji.ri",9,8,1
"2529","Sonora",13,12,1
"2530","Sonoyta",5,4,1
"2531","Sonso.ri",12,11,1
"2532","Soonda.Oja",3,3,NA
"2533","Sopochnoye",8,8,NA
"2534","Sopotchnaia",15,15,NA
"2535","Soppan.nae",9,8,1
"2536","Sorell",6,5,1
"2537","Soreq",10,10,NA
"2538","Soru",3,3,NA
"2539","Sosangni.po",20,19,1
"2540","Soto.la.Marina",88,84,4
"2541","Soumba",22,22,NA
"2542","Soummam",4,4,NA
"2543","Sous",4,3,1
"2544","South.Alligator",55,55,NA
"2545","South.Johnstone",34,31,3
"2546","South.Stann",7,7,NA
"2547","Sperchios",17,16,1
"2548","Spey",13,11,2
"2549","Splinter.creek",10,9,1
"2550","Spring.creek",23,23,NA
"2551","Sredney",4,4,NA
"2552","Ssaryeom",20,19,1
"2553","Stadara.Steingrimsfirdi",3,3,NA
"2554","Station.creek",4,4,NA
"2555","Stewart.1",11,11,NA
"2556","Stewart.2",1,1,NA
"2557","Stikine",29,28,1
"2558","Stillaguamish",30,25,5
"2559","Stoney",6,5,1
"2560","Stony.creek",10,10,NA
"2561","Stour",34,26,8
"2562","Strymon",59,48,11
"2563","Sturt",3,2,1
"2564","Styx",4,4,NA
"2565","Subarnarekha",92,90,2
"2566","Suchiate",6,6,NA
"2567","Suifen",44,42,2
"2568","Sulphur.Springs.valley",2,2,NA
"2569","Sumjin",98,95,3
"2570","Sungai.Aiduna",17,17,NA
"2571","Sungai.Aikwa",126,123,3
"2572","Sungai.Batu.Asah",4,4,NA
"2573","Sungai.Bedidi",16,16,NA
"2574","Sungai.Biri",7,7,NA
"2575","Sungai.Davur",13,11,2
"2576","Sungai.Gurun",25,23,2
"2577","Sungai.Kamora",76,76,NA
"2578","Sungai.Kamundan",11,11,NA
"2579","Sungai.Kisap",7,7,NA
"2580","Sungai.Kubang.Badak",16,16,NA
"2581","Sungai.Kumbe",41,40,1
"2582","Sungai.Limbong",11,11,NA
"2583","Sungai.Merbok",25,24,1
"2584","Sungai.Muturi",17,17,NA
"2585","Sungai.Rittowe",10,10,NA
"2586","Sungai.Sentiung",25,25,NA
"2587","Sungai.Singkir",14,14,NA
"2588","Sungai.Titi.Lubuk.Panjang",11,11,NA
"2589","Sungai.Tok.Puteri",9,9,NA
"2590","Sungai.Tor",7,7,NA
"2591","Sungai.Wiriagar",11,11,NA
"2592","Sungai.Wiru",9,9,NA
"2593","Suo.chon",30,29,1
"2594","Supsa",27,26,1
"2595","Surinam",302,298,4
"2596","Surrey",6,6,NA
"2597","Susan.chon",8,7,1
"2598","Susitna",13,13,NA
"2599","Susquehanna",126,86,40
"2600","Susurluk.Cayi",50,46,4
"2601","Suuremoisa",3,3,NA
"2602","Suurissoo",3,3,NA
"2603","Suwannee",80,77,3
"2604","Suzuka",9,8,1
"2605","Svobodnaya",6,6,NA
"2606","Swakop",3,2,1
"2607","Swan",48,40,8
"2608","Swan.Tasma",11,9,2
"2609","Swartkopsrivier",81,77,4
"2610","Swartrivier",3,3,NA
"2611","Syr.Darya",26,21,5
"2612","Taan",26,26,NA
"2613","Tabasara",9,9,NA
"2614","Tabou",20,20,NA
"2615","Tachia",51,47,4
"2616","Tacina",12,5,7
"2617","Tadu",37,37,NA
"2618","Taedong",52,51,1
"2619","Taegok.che",26,25,1
"2620","Taehwagang",62,58,4
"2621","Taesong.josuji",22,21,1
"2622","Tagliamento",34,28,6
"2623","Tagus",42,30,12
"2624","Tahaa",12,10,2
"2625","Tahakopa",9,8,1
"2626","Tahiti.un.1",12,10,2
"2627","Tahiti.un.2",12,10,2
"2628","Tahiti.un.3",12,10,2
"2629","Taieri",24,19,5
"2630","Taimyr",12,12,NA
"2631","Taipa",10,9,1
"2632","Tairua",13,11,2
"2633","Taiyang.He",26,25,1
"2634","Tajan",32,24,8
"2635","Takahashi.Okayama",7,7,NA
"2636","Takaka",17,14,3
"2637","Takamprimili",10,10,NA
"2638","Takase",4,4,NA
"2639","Takasu",5,4,1
"2640","Takatsu",13,13,NA
"2641","Takiritawai",15,11,4
"2642","Takoandra",5,4,1
"2643","Taku",26,25,1
"2644","Tallebudgera.creek",9,8,1
"2645","Tama",9,8,1
"2646","Tama.Indonesia",3,3,NA
"2647","Tamar",34,28,6
"2648","Tambre",6,6,NA
"2649","Tamiang",21,20,1
"2650","Tamiraparani",53,50,3
"2651","Tamshui",42,42,NA
"2652","Tana",59,53,6
"2653","Tana.lake",29,29,NA
"2654","Tandiadi.Aar",30,28,2
"2655","Tangahoe",13,9,4
"2656","Tanganyika",440,438,2
"2657","Tangdu.ri",44,42,2
"2658","Tangjong.josuji",29,28,1
"2659","Tangmi",27,26,1
"2660","Taninnim",12,12,NA
"2661","Tanjiang",39,38,1
"2662","Tano",87,87,NA
"2663","Tapdong.ni",15,14,1
"2664","Tapi",144,138,6
"2665","Tar",92,81,11
"2666","Tara.creek",4,4,NA
"2667","Tarago",13,12,1
"2668","Taramakau",24,19,5
"2669","Taravo",10,5,5
"2670","Tarcoles",104,103,1
"2671","Tarim",40,18,22
"2672","Tarra",33,33,NA
"2673","Tarrabool.lake",5,5,NA
"2674","Tarwin",13,13,NA
"2675","Tassili",5,3,2
"2676","Tataragawa",1,1,NA
"2677","Tategami.un.1",12,11,1
"2678","Tategami.un.2",8,7,1
"2679","Tatiara.creek",1,1,NA
"2680","Tauro",18,17,1
"2681","Taute",26,22,4
"2682","Tauton",9,9,NA
"2683","Tavignano",16,9,7
"2684","Tay",28,22,6
"2685","Taz",34,34,NA
"2686","Tchad",208,208,NA
"2687","Tchegitun",22,22,NA
"2688","Te.Awa.Kairangi",16,15,1
"2689","Te.Awainanga",10,10,NA
"2690","Tech",20,12,8
"2691","Tecolutla",16,16,NA
"2692","Tees",30,24,6
"2693","Tehuantepec",43,35,8
"2694","Teifi",23,20,3
"2695","Tekek",9,9,NA
"2696","Tellaro",7,5,2
"2697","Telwatta.Ganga",30,28,2
"2698","Temash",16,16,NA
"2699","Temburong.Belalong",39,39,NA
"2700","Tempasuk",24,24,NA
"2701","Tempisque",41,41,NA
"2702","Tengqiao.Dong.He",24,23,1
"2703","Tenjin",9,8,1
"2704","Tenna",9,9,NA
"2705","Tenryu",4,3,1
"2706","Tensift",8,6,2
"2707","Ter",16,9,7
"2708","Terek",61,58,3
"2709","Terengganu",109,107,2
"2710","Terraba",43,43,NA
"2711","Teshio",8,8,NA
"2712","Tet",33,23,10
"2713","Tevere",46,16,30
"2714","Tha.Chin",24,24,NA
"2715","Thames.UK",42,28,14
"2716","Thames.USA",59,44,15
"2717","Thelon",14,14,NA
"2718","Thio",9,9,NA
"2719","Thjorsa",5,5,NA
"2720","Thlewiasa",14,14,NA
"2721","Thomas",4,4,NA
"2722","Thompson",4,4,NA
"2723","Thompson.creek",7,6,1
"2724","Thu.Bon",263,245,18
"2725","Thumpankeni.Tank",30,28,2
"2726","Thurra",6,6,NA
"2727","Tigil",17,15,2
"2728","Tikhaya",9,9,NA
"2729","Tingalpa.creek",4,2,2
"2730","Tirtsi",6,6,NA
"2731","Tiskre",4,4,NA
"2732","Titicaca",41,35,6
"2733","Titiroa",7,6,1
"2734","Tiwaka",20,17,3
"2735","Tiwi",5,5,NA
"2736","Tlachimala",4,4,NA
"2737","Tocantins",609,607,2
"2738","Tocuyo",123,120,3
"2739","Todje",25,25,NA
"2740","Togun",7,7,NA
"2741","Togyang.ni",19,18,1
"2742","Tokachi",5,5,NA
"2743","Tokai",5,4,1
"2744","Tokomairiro",14,12,2
"2745","Tolten",22,19,3
"2746","Tomaga",13,13,NA
"2747","Tomahawk",6,6,NA
"2748","Tompire",8,8,NA
"2749","Tonala",56,55,1
"2750","Tonbetsu",8,8,NA
"2751","Tonda",4,4,NA
"2752","Tone",58,41,17
"2753","Tonekabon",42,36,6
"2754","Tong",28,28,NA
"2755","Tonggimnyong",6,6,NA
"2756","Tongil.li",7,7,NA
"2757","Tonija",5,5,NA
"2758","Tonje.ri",24,23,1
"2759","Tonji",33,31,2
"2760","Tontouta",4,3,1
"2761","Toolse",11,11,NA
"2762","Toomuc.creek",5,5,NA
"2763","Torbay",5,4,1
"2764","Tornealven",31,31,NA
"2765","Touchien",29,29,NA
"2766","Tougur",24,24,NA
"2767","Touloubre",36,22,14
"2768","Touques",19,15,4
"2769","Towamba",17,15,2
"2770","Towns",21,21,NA
"2771","Towon.Josuji",34,33,1
"2772","Tra.Khuc",49,48,1
"2773","Tram",18,18,NA
"2774","Trang",32,31,1
"2775","Transquaking",33,33,NA
"2776","Trat",41,40,1
"2777","Trent.Aus",4,4,NA
"2778","Trent.UK",45,32,13
"2779","Tres.Arroyos",6,6,NA
"2780","Trial.Well",2,1,1
"2781","Trieux",13,12,1
"2782","Trigno",10,7,3
"2783","Triigi.Sadam",4,4,NA
"2784","Trinity",112,101,11
"2785","Trinity.Inlet",20,20,NA
"2786","Truckee",39,9,30
"2787","Truxton.Wash",1,1,NA
"2788","Tsengwen",30,30,NA
"2789","Tsubai",2,2,NA
"2790","Tsurumi",2,2,NA
"2791","Tuam.josuji",13,11,2
"2792","Tubuai",10,10,NA
"2793","Tucacas1",22,21,1
"2794","Tucacas2",22,21,1
"2795","Tucacas3",22,21,1
"2796","Tuchon.chon",20,19,1
"2797","Tugela",54,49,5
"2798","Tuhai.Majia.He",50,49,1
"2799","Tuira",122,121,1
"2800","Tukituki",20,17,3
"2801","Tule.valley",2,2,NA
"2802","Tully.Murray",40,40,NA
"2803","Tulufan",7,7,NA
"2804","Tulum",4,4,NA
"2805","Tumbez",25,24,1
"2806","Tumen",90,89,1
"2807","Tunaicha",4,4,NA
"2808","Tunisia.un.1",2,1,1
"2809","Tunisia.un.2",1,1,NA
"2810","Turakina",13,10,3
"2811","Turama",23,23,NA
"2812","Turanganui",12,10,2
"2813","Turia",16,9,7
"2814","Turkana",73,71,2
"2815","Turner",9,9,NA
"2816","Tuross",26,24,2
"2817","Tutong",42,41,1
"2818","Tuudi",3,3,NA
"2819","Tuxpan",25,25,NA
"2820","Tuy",51,49,2
"2821","Tuz",10,10,NA
"2822","Tweed.Aus",24,23,1
"2823","Tweed.UK",28,17,11
"2824","Tyne",26,21,5
"2825","Ua.Huka1",9,9,NA
"2826","Ua.Huka2",8,8,NA
"2827","Ua.Pou1",5,5,NA
"2828","Ua.Pou2",6,6,NA
"2829","Uaso.Nyiro.River",28,27,1
"2830","Ubatiba",25,24,1
"2831","Uda",20,20,NA
"2832","Udobnaya",3,3,NA
"2833","Uisin.chon",31,30,1
"2834","Ulja",15,15,NA
"2835","Ulla",11,10,1
"2836","Ulua",59,57,2
"2837","Ulungur",18,12,6
"2838","Umbuluzi.River",41,41,NA
"2839","Umealven",28,27,1
"2840","Umpqua",28,28,NA
"2841","Unare",25,25,NA
"2842","Ungdong.man",18,17,1
"2843","Unjon.josuji",31,29,2
"2844","Uppala",23,22,1
"2845","Ural",50,49,1
"2846","Urama",33,32,1
"2847","Uramura.un",10,10,NA
"2848","Uranchab",6,6,NA
"2849","Urbina",13,13,NA
"2850","Urubokka.Oya",33,31,2
"2851","Uruguay",422,416,6
"2852","Usoriyama.ko",1,1,NA
"2853","Usumacinta",139,133,6
"2854","Vaana",15,15,NA
"2855","Vado.Ancho",12,12,NA
"2856","Vailala",9,9,NA
"2857","Vainupea",9,9,NA
